fylke,year,harvest_vol_m3
42,2011,3401.1868
42,2012,10841.375
42,2013,42418.46
42,2014,24580.139
42,2015,64186.49
42,2016,125731.734
42,2017,188148.73
42,2018,995538.2
42,2019,1263133.1
42,2020,1309006.0
42,2021,1211802.2
34,2011,221.08331
34,2012,12877.044
34,2013,45295.496
34,2014,293773.34
34,2015,407686.44
34,2016,904563.5
34,2017,3074904.8
34,2018,3922721.0
34,2019,4734704.5
34,2020,5488550.5
34,2021,5278524.5
15,2012,656.98126
15,2013,5.287965
15,2014,3830.8884
15,2015,2171.4954
15,2016,36664.88
15,2017,148443.44
15,2018,252115.9
15,2019,368851.66
15,2020,314758.1
15,2021,358558.8
18,2012,23.013908
18,2013,23.928074
18,2014,156.72455
18,2015,1108.5404
18,2016,4733.7295
18,2017,16565.316
18,2018,67089.04
18,2019,99510.234
18,2020,213779.97
18,2021,213158.84
3,2011,--
3,2012,890.49084
3,2013,222.19775
3,2014,677.9366
3,2015,1377.3438
3,2016,2772.1975
3,2017,29968.207
3,2018,57071.4
3,2019,42490.98
3,2020,102849.05
3,2021,82533.26
11,2015,32.823708
11,2016,22539.71
11,2017,40645.438
11,2018,72325.78
11,2019,213011.72
11,2020,166237.47
11,2021,124999.58
54,2012,--
54,2013,13.776256
54,2014,39.973454
54,2015,4.6049004
54,2016,11158.182
54,2017,2378.536
54,2018,13944.106
54,2019,20774.787
54,2020,21063.922
54,2021,30091.084
50,2012,2568.947
50,2013,6048.665
50,2014,13457.272
50,2015,71634.51
50,2016,268804.47
50,2017,539426.2
50,2018,692002.5
50,2019,881658.1
50,2020,1051841.4
50,2021,1307238.8
38,2011,408.23904
38,2012,79.80793
38,2013,457.70554
38,2014,3392.5464
38,2015,34174.914
38,2016,140562.22
38,2017,527075.25
38,2018,1389688.5
38,2019,1452146.2
38,2020,1478111.4
38,2021,1472363.6
46,2012,3290.5686
46,2013,6622.9604
46,2014,44197.008
46,2015,48597.336
46,2016,128455.69
46,2017,273158.84
46,2018,269755.6
46,2019,449399.56
46,2020,353267.97
46,2021,538683.75
30,2011,--
30,2012,1811.8568
30,2013,54295.176
30,2014,119563.52
30,2015,157062.36
30,2016,1153040.5
30,2017,1765845.1
30,2018,2741895.0
30,2019,3418515.5
30,2020,3432550.5
30,2021,3267531.0
